year,planned emissions
2020,882
2021,848.8
2022,815.6
2023,782.4
2024,749.2
2025,716
2026,682.8
2027,649.6
2028,616.4
2029,583.2
2030,550
2031,535.4
2032,520.8
2033,506.2
2034,491.6
2035,477
2036,462.4
2037,447.8
2038,433.2
2039,418.6
2040,404
2041,389.4
2042,374.8
2043,360.2
2044,345.6
2045,331
2046,316.4
2047,301.8
2048,287.2
2049,272.6
2050,258
2051,243.4
2052,228.8
2053,214.2
2054,199.6
2055,185
2056,170.4
2057,155.8
2058,141.2
2059,126.6
2060,112
2061,97.3999999999998
2062,82.7999999999998
2063,68.1999999999999
2064,53.5999999999998
2065,38.9999999999998
2066,24.3999999999998
2067,9.79999999999984
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
